;Semestre;CRN;Materia;Seccion;Creditos;Titulo;Cupo;Inscritos;Disponible;1Dias;1Horas;1Salon;Area util_s1;Bloque_s1;Capacidad_s1;Ext_s1;Fijo/Movil_s1;Movil Express_s1;Tipo Mobiliario_s1;1F. Inicial;1F. Final;2Dias;2Horas;2Salon;Area util_s2;Bloque_s2;Capacidad_s2;Ext_s2;Fijo/Movil_s2;Movil Express_s2;Tipo Mobiliario_s2;2F. Inicial;2F. Final;3Dias;3Horas;3Salon;Area util_s3;Bloque_s3;Capacidad_s3;Ext_s3;Fijo/Movil_s3;Movil Express_s3;Tipo Mobiliario_s3;3F. Inicial;3F. Final;1Instructor;2Instructor;3Instructor
4441;2018-01;30592;MATE-1203C;27;0;CALCULO DIFERENCIAL COMPL.;34;31;3;IV;1530 - 1620;ML_515;114,9;ML;44.0;1628.0;Movil;Si;Silla móvil, mesa móvil;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;ESCOBAR VELASQUEZ NICOLAS;;
4442;2018-01;30593;MATE-1203C;28;0;CALCULO DIFERENCIAL COMPL.;33;26;7;IV;1530 - 1620;R_109;37,5;R;37.0;nan;Movil;No;Pupitre universitario;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;MUÑOZ CARVAJAL JORGE DANIEL;;
4443;2018-01;10186;MATE-1204;1;3;CALCULO DIFEREN (HON);45;9;36;MJV;0930 - 1050;O_401;57,8;O;50.0;5267.0;Fijo;No;Silla móvil y mesa fija;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;RIVEROS PACHECO DAVID RICARDO;;
4444;2018-01;10656;MATE-1207;1;3;CALCULO VECTORIAL;90;81;9;MJ;0630 - 0750;O_101;94;O;121.0;5250.0;Fijo;No;Silla y superficie abatible fijas;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;GALINDO MARTÍNEZ CESAR NEYIT;;
4445;2018-01;10733;MATE-1207;5;3;CALCULO VECTORIAL;92;86;6;IV;0800 - 0920;O_101;94;O;121.0;5250.0;Fijo;No;Silla y superficie abatible fijas;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;CORTISSOZ IRIARTE JEAN CARLOS;;
4446;2018-01;12168;MATE-1207;9;3;CALCULO VECTORIAL;91;83;8;MJ;0930 - 1050;SD_805;233,1;Sd;135.0;1119.0;Fijo;Si;Silla móvil y mesa fija;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;SANABRIA MALAGON CAMILO;;
4447;2018-01;10735;MATE-1207;13;3;CALCULO VECTORIAL;92;86;6;IV;1100 - 1220;O_103;94;O;121.0;5252.0;Fijo;No;Silla y superficie abatible fijas;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;VELASCO GREGORY MAURICIO FERNANDO;;
4448;2018-01;10734;MATE-1207;17;3;CALCULO VECTORIAL (INGLES);80;13;67;J;1100 - 1220;AU_205;59,8;Au;40.0;5612.0;Movil;SI;Silla móvil, mesa móvil;22/01/18;12/5/2018;M;1100 - 1220;LL_105;37,8;LL;38.0;5080.0;Movil;SI;Pupitre universitario;22/01/18;12/5/2018;;;;;;;;;;;;;BRESSLER PAUL;;
4449;2018-01;11253;MATE-1207;21;3;CALCULO VECTORIAL;91;47;44;MV;1230 - 1350;O_101;94;O;121.0;5250.0;Fijo;No;Silla y superficie abatible fijas;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;FERRI STEFANO;;
4450;2018-01;20662;MATE-1207;25;3;CALCULO VECTORIAL;90;85;5;MJ;1400 - 1520;R_210;172,8;R;192.0;nan;Fijo;No;Silla y superficie abatible fijas;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;ADARVE DELGADO SERGIO;;
4451;2018-01;30597;MATE-1207;29;3;CALCULO VECTORIAL;90;84;6;IV;1530 - 1650;SD_805;233,1;Sd;135.0;1119.0;Fijo;Si;Silla móvil y mesa fija;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;BERENSTEIN OPSCHOLTENS ALEXANDER JONATHAN;;
4452;2018-01;30598;MATE-1207;33;3;CALCULO VECTORIAL;90;84;6;IV;1700 - 1820;B_402;186,1;B;99.0;nan;Fijo;No (es salas de computo también);Silla móvil y mesa fija;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;CARDONA GUIO ALEXANDER;;
4453;2018-01;12748;MATE-1207C;2;0;CALCULO VECTORIAL COMPL;30;28;2;LI;0700 - 0750;O_405;60,9;O;44.0;5271.0;Fijo;No;Silla móvil y mesa fija;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;CHAPARRO GUTIERREZ HECTOR CAMILO;;
4454;2018-01;12749;MATE-1207C;3;0;CALCULO VECTORIAL COMPL;30;28;2;LI;0700 - 0750;ML_614;109,6;ML;44.0;1627.0;Movil;SI;Silla móvil, mesa móvil;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;MARTINEZ RAMOS NICOLAS DANIEL;;
4455;2018-01;12309;MATE-1207C;4;0;CALCULO VECTORIAL COMPL;30;25;5;LI;0700 - 0750;Z_202;46,4;Z;34.0;nan;Movil;No;Silla móvil, mesa móvil;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;ROBAYO BARGANS DIEGO ANTONIO;;
4456;2018-01;13001;MATE-1207C;6;0;CALCULO VECTORIAL COMPL;30;29;1;LJ;0800 - 0850;AU_402;46;Au;40.0;5632.0;Movil;Si;Silla móvil, mesa móvil;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;ESCOBAR VELASQUEZ NICOLAS;;
4457;2018-01;25373;MATE-1207C;7;0;CALCULO VECTORIAL COMPL;31;28;3;LJ;0800 - 0850;AU_206;59,8;Au;44.0;5613.0;Movil;SI;Mesa trapezoidal con silla móviles;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;ROBAYO BARGANS DIEGO ANTONIO;;
4458;2018-01;12753;MATE-1207C;8;0;CALCULO VECTORIAL COMPL;31;29;2;LJ;0800 - 0850;Z_201;42,3;Z;36.0;nan;Movil;No;Silla móvil, mesa móvil;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;RODRIGUEZ DUQUE CESAR AUGUSTO;;
4459;2018-01;30700;MATE-1207C;10;0;CAL. VECTORIAL COMPL;31;28;3;IV;1000 - 1050;S1_202;67;S1;45.0;nan;Movil;No;Silla móvil, mesa móvil;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;ANGEL BAUTISTA JOSE LEONARDO;;
4460;2018-01;12867;MATE-1207C;11;0;CALCULO VECTORIAL COMPL;30;25;5;IV;1000 - 1050;R_109;37,5;R;37.0;nan;Movil;No;Pupitre universitario;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;LEGUIZAMON QUINCHE EDISON JAIR;;
4461;2018-01;12862;MATE-1207C;12;0;CALCULO VECTORIAL COMPL;30;30;0;IV;1000 - 1050;PU_300;32,6;Pu;35.0;nan;Movil;No;Pupitre universitario;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;JARAMILLO MARTINEZ DAVID;;
4462;2018-01;12859;MATE-1207C;14;0;CALCULO VECTORIAL COMPL;31;29;2;LJ;1100 - 1150;AU_201;59,8;Au;44.0;5608.0;Movil;Si;Mesa trapezoidal con silla móviles;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;CUERVO OVALLE NICOLAS;;
4463;2018-01;18810;MATE-1207C;15;0;CALCULO VECTORIAL COMPL;31;29;2;LJ;1100 - 1150;ML_606;125,7;ML;81.0;1612.0;Fijo;Si;Silla móvil y mesa fija;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;WOSNITZKA MARTIN FELIX;;
4464;2018-01;12861;MATE-1207C;16;0;CALCULO VECTORIAL COMPL;30;28;2;LJ;1300 - 1350;AU_402;46;Au;40.0;5632.0;Movil;Si;Silla móvil, mesa móvil;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;WOSNITZKA MARTIN FELIX;;
4465;2018-01;27859;MATE-1207C;18;0;CALCULO VECTORIAL COMPL;27;9;18;IV;1100 - 1150;W_505;82,6;W;42.0;5021.0;Fijo;Si;Silla móvil y mesa fija;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;JARAMILLO MARTINEZ DAVID;;
4466;2018-01;27861;MATE-1207C;19;0;CALCULO VECTORIAL COMPL;10;2;8;IV;1100 - 1150;ML_614;109,6;ML;44.0;1627.0;Movil;SI;Silla móvil, mesa móvil;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;NUMPAQUE ROA JUAN SEBASTIAN;;
4467;2018-01;25371;MATE-1207C;20;0;CALCULO VECTORIAL COMPL;26;2;24;IV;1300 - 1350;AU_402;46;Au;40.0;5632.0;Movil;Si;Silla móvil, mesa móvil;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;LEGUIZAMON QUINCHE EDISON JAIR;;
4468;2018-01;13943;MATE-1207C;22;0;CALCULO VECTORIAL COMPL;30;20;10;LJ;1100 - 1150;O_305;72,7;O;62.0;5265.0;Fijo;No;Silla móvil y mesa fija;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;GARCIA SANCHEZ JAVIER HERNAN;;
4469;2018-01;12863;MATE-1207C;23;0;CALCULO VECTORIAL COMPL;31;16;15;LJ;1230 - 1320;AU_107;46,3;Au;36.0;5605.0;Movil;Si;Silla móvil, mesa móvil;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;GARCIA SANCHEZ JAVIER HERNAN;;
4470;2018-01;12864;MATE-1207C;24;0;CALCULO VECTORIAL COMPL;30;11;19;LJ;1230 - 1320;Z_202;46,4;Z;34.0;nan;Movil;No;Silla móvil, mesa móvil;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;CUERVO OVALLE NICOLAS;;
4471;2018-01;20672;MATE-1207C;26;0;CALCULO VECTORIAL COMPL;30;28;2;LI;1300 - 1350;W_505;82,6;W;42.0;5021.0;Fijo;Si;Silla móvil y mesa fija;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;MORENO PARIS JAVIER DAVID;;
4472;2018-01;20677;MATE-1207C;27;0;CALCULO VECTORIAL COMPL;30;30;0;I;1400 - 1450;Z_102;43;Z;37.0;nan;Movil;No;Pupitre universitario;22/01/18;12/5/2018;L;1400 - 1450;Z_201;42,3;Z;36.0;nan;Movil;No;Silla móvil, mesa móvil;22/01/18;12/5/2018;;;;;;;;;;;;;MORENO PARIS JAVIER DAVID;;
4473;2018-01;12750;MATE-1207C;28;0;CALCULO VECTORIAL COMPL;30;27;3;LI;1400 - 1450;SD_716;140,4;Sd;65.0;1105.0;Fijo;Si;Silla móvil y mesa fija;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;ESTUPIÑAN SALAMANCA SANTIAGO;;
4474;2018-01;27871;MATE-1207C;30;0;CALCULO VECTORIAL COMPL;30;26;4;J;1530 - 1620;AU_303;29,4;Au;31.0;5621.0;Movil;No;Pupitre universitario;22/01/18;12/5/2018;L;1530 - 1620;SD_703;140,9;Sd;65.0;1116.0;Fijo;Si;Silla móvil y mesa fija;22/01/18;12/5/2018;;;;;;;;;;;;;PACHECO TOBO WILLIAM LEONARDO;;
4475;2018-01;20665;MATE-1207C;31;0;CALCULO VECTORIAL COMPL;30;29;1;LJ;1530 - 1620;LL_108;38;LL;36.0;5083.0;Movil;SI;Pupitre universitario;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;SUAREZ SANABRIA LUIS CARLOS;;
4476;2018-01;12860;MATE-1207C;32;0;CALCULO VECTORIAL COMPL;31;29;2;LJ;1700 - 1750;Z_103;40,1;Z;35.0;nan;Movil;No;Pupitre universitario;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;SUAREZ SANABRIA LUIS CARLOS;;
4477;2018-01;12866;MATE-1207C;34;0;CALCULO VECTORIAL COMPL;31;28;3;LJ;1530 - 1620;Z_201;42,3;Z;36.0;nan;Movil;No;Silla móvil, mesa móvil;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;AVILA GIRARDOT DANIEL FELIPE;;
4478;2018-01;30599;MATE-1207C;35;0;CAL. VECTORIAL COMPL;30;29;1;LJ;1700 - 1750;R_109;37,5;R;37.0;nan;Movil;No;Pupitre universitario;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;AVILA GIRARDOT DANIEL FELIPE;;
4479;2018-01;30600;MATE-1207C;36;0;CAL. VECTORIAL COMPL;30;27;3;LJ;1700 - 1750;LL_105;37,8;LL;38.0;5080.0;Movil;SI;Pupitre universitario;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;ESCOBAR VELASQUEZ NICOLAS;;
4480;2018-01;10556;MATE-1208;1;3;CALC. VECTORIAL (HONORES);22;12;10;M;0800 - 0920;LL_201;51,7;LL;32.0;5084.0;Fijo;Si;Silla móvil y mesa fija;22/01/18;12/5/2018;V;0800 - 0920;C_212;42,8;C;22.0;nan;Movil;si;Silla móvil, mesa móvil;22/01/18;12/5/2018;I;0800 - 0920;C_212;42,8;C;22.0;nan;Movil;si;Silla móvil, mesa móvil;22/01/18;12/5/2018;MURCIA MAZO ALEXANDER;;
4481;2018-01;10545;MATE-1212;1;3;MATEMATICAS 1 (BIO-MED);48;42;6;L;0630 - 0750;SD_704;144,8;Sd;60.0;1106.0;Movil;Si;Silla móvil, mesa móvil;22/01/18;12/5/2018;J;0630 - 0750;SD_804;144,8;Sd;82.0;1118.0;Fijo;Si;Silla móvil y mesa fija;22/01/18;12/5/2018;M;0630 - 0750;SD_703;140,9;Sd;65.0;1116.0;Fijo;Si;Silla móvil y mesa fija;22/01/18;12/5/2018;DEL CORRAL MARTINEZ CESAR AUGUSTO;;
4482;2018-01;23335;MATE-1212;2;3;MATEMATICAS 1 (BIO-MED);45;14;31;LMJ;0800 - 0920;Z_110;52,9;Z;47.0;nan;Movil;No;Pupitre universitario;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;BUENO ALEX ROLANDO;;
4483;2018-01;10657;MATE-1213;1;3;MATEMATICAS 3 (BIO-MED);47;43;4;MJV;1230 - 1350;Z_110;52,9;Z;47.0;nan;Movil;No;Pupitre universitario;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;ZAPATA RESTREPO OSCAR OSWALDO;;
4484;2018-01;31230;MATE-1214;2;3;CALCULO INTEGRAL-ECUAC.DIFEREN;48;37;11;L;1100 - 1220;SD_804;144,8;Sd;82.0;1118.0;Fijo;Si;Silla móvil y mesa fija;22/01/18;12/5/2018;V;1100 - 1220;O_203;70,6;O;62.0;5258.0;Fijo;No;Silla móvil y mesa fija;22/01/18;12/5/2018;M;1100 - 1220;O_302;64,2;O;56.0;5262.0;Fijo;No;Silla móvil y mesa fija;22/01/18;12/5/2018;MARIÑO SALAZAR VERONICA;;
4485;2018-01;10658;MATE-1214;5;3;CALCULO INTEGR -ECUAC.DIFEREN.;90;30;60;MJ;0800 - 0920;O_104;94;O;121.0;5253.0;Fijo;No;Silla y superficie abatible fijas;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;OULD AHMED;;
4486;2018-01;10737;MATE-1214;9;3;CALCULO INTEGRAL-ECUAC.DIFEREN;92;81;11;MJ;0930 - 1050;O_103;94;O;121.0;5252.0;Fijo;No;Silla y superficie abatible fijas;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;ROCUTS SCHWEITZER;;
4487;2018-01;10738;MATE-1214;13;3;CALCULO INTEGRAL-ECUAC.DIFEREN;90;86;4;IV;0930 - 1050;R_210;172,8;R;192.0;nan;Fijo;No;Silla y superficie abatible fijas;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;DELAVEGA SINISTERRA RAMIRO HERNANDO;;
4488;2018-01;10782;MATE-1214;17;3;CALCULO INTEGRAL-ECUAC.DIFEREN;91;78;13;MJ;1100 - 1220;O_104;94;O;121.0;5253.0;Fijo;No;Silla y superficie abatible fijas;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;MEZIAT VELEZ RENE JOAQUIN;;
4489;2018-01;10784;MATE-1214;21;3;CALCULO INTEGRAL-ECUAC.DIFEREN;90;66;24;MV;1230 - 1350;ML_603;165,6;ML;117.0;1626.0;Fijo;Si;Silla móvil y mesa fija;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;RIVEROS PACHECO DAVID RICARDO;;
4490;2018-01;10790;MATE-1214;25;3;CALCULO INTEGRAL-ECUAC.DIFEREN;90;26;64;V;1400 - 1520;R_209;172,1;R;192.0;nan;Fijo;No;Silla y superficie abatible fijas;22/01/18;12/5/2018;I;1400 - 1520;C_104;130,8;C;100.0;nan;Fijo;si;Silla móvil y mesa fija;22/01/18;12/5/2018;;;;;;;;;;;;;JUNCA PELAEZ MAURICIO JOSE;;
4491;2018-01;11254;MATE-1214;29;3;CALCULO INTEGRAL-ECUAC.DIFEREN;90;80;10;MV;1400 - 1520;ML_603;165,6;ML;117.0;1626.0;Fijo;Si;Silla móvil y mesa fija;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;BACKELIN ERIK;;
4492;2018-01;30605;MATE-1214;33;3;CALCULO INTEGRAL-ECUAC.DIFEREN;90;74;16;IV;1530 - 1650;R_209;172,1;R;192.0;nan;Fijo;No;Silla y superficie abatible fijas;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;QUIROZ SALAZAR ADOLFO JOSE;;
4493;2018-01;31231;MATE-1214;37;3;CALCULO INTEGRAL-ECUAC.DIFEREN;45;19;26;M;0630 - 0750;C_209;88,1;C;57.0;nan;Fijo;si;Silla móvil y mesa fija;22/01/18;12/5/2018;V;0630 - 0750;B_201;122,8;B;51.0;1439.0;Fijo;No;Silla móvil y mesa fija;22/01/18;12/5/2018;J;0630 - 0750;O_303;64,2;O;56.0;5263.0;Fijo;No;Silla móvil y mesa fija;22/01/18;12/5/2018;CHAPARRO GUTIERREZ HECTOR CAMILO;;
4494;2018-01;12868;MATE-1214C;6;0;CALC.INTEG-ECUAC.DIFEREN COMPL;30;20;10;LI;0800 - 0850;Z_202;46,4;Z;34.0;nan;Movil;No;Silla móvil, mesa móvil;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;GARZON MORA SOFIA;;
4495;2018-01;12874;MATE-1214C;7;0;CALC.INTEG-ECUAC.DIFEREN COMPL;10;2;8;LI;0800 - 0850;Q_306;86,3;Q;48.0;1454.0;Fijo;SI;Silla móvil y mesa fija;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;SANCHEZ MENDOZA DANIEL;;
4496;2018-01;12875;MATE-1214C;8;0;CALC.INTEG-ECUAC.DIFEREN COMPL;30;8;22;LI;0930 - 1020;Z_102;43;Z;37.0;nan;Movil;No;Pupitre universitario;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;SANCHEZ MENDOZA DANIEL;;
4497;2018-01;25424;MATE-1214C;10;0;CALC.INTEG-ECUAC.DIFEREN COMPL;30;28;2;V;0930 - 1020;O_202;70,6;O;62.0;5257.0;Fijo;No;Silla móvil y mesa fija;22/01/18;12/5/2018;I;0930 - 1020;ML_511;85,4;ML;61.0;1615.0;Fijo;Si;Silla móvil y mesa fija;22/01/18;12/5/2018;;;;;;;;;;;;;SANCHEZ VARGAS CARLOS MARIO;;
4498;2018-01;12876;MATE-1214C;11;0;CALC.INTEG-ECUAC.DIFEREN COMPL;30;22;8;IV;0930 - 1020;O_305;72,7;O;62.0;5265.0;Fijo;No;Silla móvil y mesa fija;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;PATIÑO LOPEZ ANDRES FELIPE;;
4499;2018-01;12877;MATE-1214C;12;0;CALC.INTEG-ECUAC.DIFEREN COMPL;32;31;1;IV;1100 - 1150;Z_102;43;Z;37.0;nan;Movil;No;Pupitre universitario;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;PATIÑO LOPEZ ANDRES FELIPE;;
4500;2018-01;13584;MATE-1214C;14;0;CALC.INTEG-ECUAC.DIFEREN COMPL;30;28;2;LJ;0930 - 1020;C_307;89,7;C;60.0;nan;Movil;si;Silla móvil, mesa móvil;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;ESCOBAR SARMIENTO CAMILO ANDRES;;
4501;2018-01;18820;MATE-1214C;15;0;CALC.INTEG-ECUAC.DIFEREN COMPL;31;30;1;LJ;0930 - 1020;C_308;89,8;C;60.0;nan;Movil;si;Silla móvil, mesa móvil;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;ZAMBRANO LUNA BRIAN ANDRES;;
4502;2018-01;27919;MATE-1214C;16;0;CALC.INTEG-ECUAC.DIFEREN COMPL;30;28;2;LJ;1100 - 1150;Z_102;43;Z;37.0;nan;Movil;No;Pupitre universitario;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;ZAMBRANO LUNA BRIAN ANDRES;;
4503;2018-01;25423;MATE-1214C;18;0;CALC.INTEG-ECUAC.DIFEREN COMPL;30;27;3;LI;1100 - 1150;SD_716;140,4;Sd;65.0;1105.0;Fijo;Si;Silla móvil y mesa fija;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;RIAÑO RIAÑO RICHARD FERNANDO;;
4504;2018-01;12878;MATE-1214C;19;0;CALC.INTEG-ECUAC.DIFEREN COMPL;31;25;6;LI;1100 - 1150;ML_516;121,9;ML;44.0;1618.0;Movil;Si;Silla móvil, mesa móvil;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;TAMAYO JIMENEZ DANIEL;;
4505;2018-01;12880;MATE-1214C;20;0;CALC.INTEG-ECUAC.DIFEREN COMPL;30;26;4;LI;1300 - 1350;Z_101;45,2;Z;41.0;nan;Movil;No;Pupitre universitario;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;TAMAYO JIMENEZ DANIEL;;
4506;2018-01;12886;MATE-1214C;22;0;CALC.INTEG-ECUAC.DIFEREN COMPL;30;21;9;LJ;1100 - 1150;ML_614;109,6;ML;44.0;1627.0;Movil;SI;Silla móvil, mesa móvil;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;VARGAS BELTRAN LUIS FELIPE;;
4507;2018-01;25425;MATE-1214C;23;0;CALC.INTEG-ECUAC.DIFEREN COMPL;30;24;6;LJ;1300 - 1350;ML_515;114,9;ML;44.0;1628.0;Movil;Si;Silla móvil, mesa móvil;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;VARGAS BELTRAN LUIS FELIPE;;
4508;2018-01;12885;MATE-1214C;24;0;CALC.INTEG-ECUAC.DIFEREN COMPL;30;21;9;LJ;1300 - 1350;AU_401;46;Au;40.0;5631.0;Movil;Si;Silla móvil, mesa móvil;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;FLORES PATIÑO JULIANA;;
4509;2018-01;25428;MATE-1214C;27;0;CALC.INTEG-ECUAC.DIFEREN COMPL;30;22;8;LJ;1400 - 1450;AU_206;59,8;Au;44.0;5613.0;Movil;SI;Mesa trapezoidal con silla móviles;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;RAMIREZ DIAZ NICOLAS;;
4510;2018-01;12896;MATE-1214C;28;0;CALC.INTEG-ECUAC.DIFEREN COMPL;30;4;26;LJ;1530 - 1620;AU_404;43,7;Au;36.0;5634.0;Movil;Si;Mesa trapezoidal con silla móviles;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;RAMIREZ DIAZ NICOLAS;;
4511;2018-01;25502;MATE-1214C;30;0;CALC.INTEG-ECUAC.DIFEREN COMPL;30;27;3;J;1100 - 1150;LL_107;38;LL;36.0;5082.0;Movil;SI;Pupitre universitario;22/01/18;12/5/2018;L;1100 - 1150;SD_703;140,9;Sd;65.0;1116.0;Fijo;Si;Silla móvil y mesa fija;22/01/18;12/5/2018;;;;;;;;;;;;;FONSECA VALERO DIEGO FERNANDO;;
4512;2018-01;12898;MATE-1214C;31;0;CALC.INTEG-ECUAC.DIFEREN COMPL;30;29;1;LJ;1400 - 1450;Z_102;43;Z;37.0;nan;Movil;No;Pupitre universitario;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;FONSECA VALERO DIEGO FERNANDO;;
4513;2018-01;28144;MATE-1214C;32;0;CALC.INTEG-ECUAC.DIFEREN COMPL;30;24;6;LJ;1400 - 1450;Z_103;40,1;Z;35.0;nan;Movil;No;Pupitre universitario;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;WALTEROS VERGARA NICOLAS JAVIER;;
4514;2018-01;28145;MATE-1214C;34;0;CALC.INTEG-ECUAC.DIFEREN COMPL;30;26;4;LJ;1530 - 1620;SD_716;140,4;Sd;65.0;1105.0;Fijo;Si;Silla móvil y mesa fija;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;REYES GUTIERREZ JUAN CAMILO;;
4515;2018-01;28146;MATE-1214C;35;0;CALC.INTEG-ECUAC.DIFEREN COMPL;31;27;4;LJ;1530 - 1620;ML_510;98,1;ML;69.0;1617.0;Fijo;Si;Silla móvil y mesa fija;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;PINZON PALACIOS SANTIAGO IVAN;;
4516;2018-01;12887;MATE-1214C;36;0;CALC.INTEG-ECUAC.DIFEREN COMPL;30;21;9;LJ;1700 - 1750;PU_300;32,6;Pu;35.0;nan;Movil;No;Pupitre universitario;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;PINZON PALACIOS SANTIAGO IVAN;;
4517;2018-01;10436;MATE-1215;1;3;CALCULO INT-ECUAC.DIFER(HON);45;14;31;M;0800 - 0920;LL_301;51,6;LL;52.0;5089.0;Movil;No;Pupitre universitario;22/01/18;12/5/2018;V;0800 - 0920;O_105;72,7;O;62.0;5254.0;Fijo;No;Silla móvil y mesa fija;22/01/18;12/5/2018;I;0800 - 0920;O_303;64,2;O;56.0;5263.0;Fijo;No;Silla móvil y mesa fija;22/01/18;12/5/2018;ECHEVERRI DAVILA HERNANDO JOSE;;
4518;2018-01;17310;MATE-1251;1;3;MÉTODOS CUANTITATIVOS;45;9;36;LMJ;0800 - 0920;R_110;46,8;R;46.0;nan;Movil;No;Pupitre universitario;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;GARRIDO LOPERA BERTHA CECILIA;;
4519;2018-01;20449;MATE-1252;1;3;CALCULO INTEGRAL-PROBABILIDAD;100;63;37;MJ;0930 - 1050;R_210;172,8;R;192.0;nan;Fijo;No;Silla y superficie abatible fijas;22/01/18;12/5/2018;;;;;;;;;;;;;;;;;;;;;;;;;HÖGELE MICHAEL ANTON;;
4520;2018-01;25509;MATE-1252;5;3;CALCULO INTEGRAL-PROBABILIDAD;82;52;30;J;0930 - 1050;ML_608;165,5;ML;117.0;1631.0;Fijo;Si;Silla móvil y mesa fija;22/01/18;12/5/2018;M;0930 - 1050;SD_801;140;Sd;82.0;1110.0;Fijo;Si;Silla móvil y mesa fija;22/01/18;12/5/2018;;;;;;;;;;;;;ORTIZ SANCHEZ ROBERTO;;
